"region","age","2016"
"01 Stockholm county","18-29 years",407.1
"01 Stockholm county","30-49 years",696.6
"01 Stockholm county","50-64 years",721.8
"03 Uppsala county","18-29 years",317.9
"03 Uppsala county","30-49 years",573.3
"03 Uppsala county","50-64 years",613.1
"04 Södermanland county","18-29 years",335.4
"04 Södermanland county","30-49 years",517.0
"04 Södermanland county","50-64 years",536.2
"05 Östergötland county","18-29 years",306.6
"05 Östergötland county","30-49 years",531.1
"05 Östergötland county","50-64 years",562.8
"06 Jönköping county","18-29 years",349.4
"06 Jönköping county","30-49 years",548.0
"06 Jönköping county","50-64 years",588.1
"07 Kronoberg county","18-29 years",324.6
"07 Kronoberg county","30-49 years",531.5
"07 Kronoberg county","50-64 years",560.2
"08 Kalmar county","18-29 years",329.9
"08 Kalmar county","30-49 years",511.1
"08 Kalmar county","50-64 years",528.7
"09 Gotland county","18-29 years",317.3
"09 Gotland county","30-49 years",515.2
"09 Gotland county","50-64 years",517.2
"10 Blekinge county","18-29 years",308.5
"10 Blekinge county","30-49 years",505.3
"10 Blekinge county","50-64 years",520.1
"12 Skåne county","18-29 years",324.8
"12 Skåne county","30-49 years",528.6
"12 Skåne county","50-64 years",568.6
"13 Halland county","18-29 years",369.4
"13 Halland county","30-49 years",607.4
"13 Halland county","50-64 years",654.4
"14 Västra Götaland county","18-29 years",347.6
"14 Västra Götaland county","30-49 years",551.7
"14 Västra Götaland county","50-64 years",593.4
"17 Värmland county","18-29 years",296.9
"17 Värmland county","30-49 years",482.1
"17 Värmland county","50-64 years",496.4
"18 Örebro county","18-29 years",307.3
"18 Örebro county","30-49 years",505.0
"18 Örebro county","50-64 years",522.6
"19 Västmanland county","18-29 years",337.0
"19 Västmanland county","30-49 years",529.5
"19 Västmanland county","50-64 years",544.3
"20 Dalarna county","18-29 years",324.8
"20 Dalarna county","30-49 years",495.2
"20 Dalarna county","50-64 years",509.2
"21 Gävleborg county","18-29 years",314.6
"21 Gävleborg county","30-49 years",488.1
"21 Gävleborg county","50-64 years",507.2
"22 Västernorrland county","18-29 years",320.7
"22 Västernorrland county","30-49 years",504.2
"22 Västernorrland county","50-64 years",516.2
"23 Jämtland county","18-29 years",309.5
"23 Jämtland county","30-49 years",495.1
"23 Jämtland county","50-64 years",501.3
"24 Västerbotten county","18-29 years",297.0
"24 Västerbotten county","30-49 years",505.9
"24 Västerbotten county","50-64 years",540.8
"25 Norrbotten county","18-29 years",335.0
"25 Norrbotten county","30-49 years",514.8
"25 Norrbotten county","50-64 years",523.5
